Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,
4489,Mining,19.35,19.32,,,,"Fri Jun 20, 2025 - 04:24:55",User,1.5,ppm,,,,,sample5,Mining,16.5478 , 14.5560,8.0525 , 1.7573,<LOD,5.3598,927928.6875 , 585.1561,<LOD,2.1672,32.3820 , 12.9563,<LOD,136.6653,455.6648 , 47.4453,15.2022 , 7.7063,65517.5938 , 189.0565,<LOD,0.0000,<LOD,3.0153,1235.2177 , 50.3172,<LOD,1.5480,10.2807 , 0.9556,2339.8423 , 32.7262,14.7988 , 1.5761,34.0542 , 7.5944,5.2096 , 0.8416,<LOD,0.0000,40.0453 , 32.5838,<LOD,1.3927,66.9927 , 9.9301,8.5343 , 0.4477,<LOD,0.0000,<LOD,1.9596,2051.9758 , 165.0058,<LOD,1.9102,133.3595 , 70.6267,<LOD,0.0000,<LOD,0.9613,76.3992 , 4.2972,9.1790 , 0.8399,
4490,Mining,19.74,19.62,,,,"Fri Jun 20, 2025 - 04:25:49",User,1.5,ppm,,,,,sample5,Mining,22.0908 , 19.4312,5.2686 , 1.6793,<LOD,5.1117,937261.0625 , 525.7422,<LOD,2.2923,37.7242 , 15.0933,<LOD,112.7217,719.6553 , 53.8563,25.1310 , 7.3530,57146.0195 , 178.8585,<LOD,0.0000,<LOD,2.9290,1084.5944 , 48.5751,<LOD,1.5074,6.5221 , 0.8949,1953.9242 , 29.6373,16.2742 , 1.5793,44.6292 , 7.4401,3.4222 , 0.8074,<LOD,0.0000,53.4875 , 43.5200,<LOD,1.3424,97.3645 , 9.7189,6.2688 , 0.4089,<LOD,0.0000,<LOD,1.9997,1314.1599 , 151.9359,<LOD,1.9659,134.2437 , 69.1719,<LOD,0.0000,<LOD,0.9324,62.3580 , 3.9436,5.8215 , 0.7698,
4491,Mining,19.16,19.29,,,,"Fri Jun 20, 2025 - 04:26:41",User,1.5,ppm,,,,,sample5,Mining,14.2647 , 12.5482,4.9643 , 1.7815,<LOD,5.3752,937749.2500 , 538.7081,<LOD,2.1965,22.3852 , 8.5519,<LOD,157.9184,610.8412 , 52.9861,21.8344 , 7.5527,56402.5156 , 183.9174,<LOD,0.0000,<LOD,3.0731,1032.3467 , 48.9841,<LOD,1.5410,6.9911 , 0.9210,1987.5394 , 30.8064,19.4494 , 1.7052,22.7168 , 7.4975,4.8439 , 0.8346,<LOD,0.0000,36.4064 , 29.6239,<LOD,1.4364,57.1962 , 9.8178,5.6542 , 0.4120,<LOD,0.0000,<LOD,1.9998,1821.0222 , 167.6653,<LOD,1.9032,109.2901 , 72.1416,<LOD,0.0000,<LOD,0.9634,63.6226 , 4.0863,6.8406 , 0.8052,
4492,Mining,19.63,18.91,,,,"Fri Jun 20, 2025 - 04:27:21",User,1.5,ppm,,,,,sample5,Mining,28.5587 , 25.1213,5.8025 , 1.8176,<LOD,5.4216,919637.3125 , 634.3962,<LOD,2.1413,31.3236 , 12.5329,<LOD,142.5686,688.4184 , 51.4218,25.9514 , 8.1245,72803.3516 , 193.4778,<LOD,0.0000,<LOD,3.0550,1504.8906 , 53.4997,<LOD,2.4953,14.0571 , 1.0033,2636.6099 , 34.3271,21.9131 , 1.7243,64.4448 , 7.8509,5.9899 , 0.8917,<LOD,0.0000,25.0119 , 20.3517,<LOD,1.4136,36.4496 , 10.1047,9.2518 , 0.4563,<LOD,0.0000,<LOD,1.8500,2246.6506 , 163.4862,<LOD,2.0355,123.6457 , 68.9286,<LOD,0.0000,<LOD,1.0195,79.7858 , 4.3440,10.5939 , 0.8588,
4493,Mining,20.50,19.94,,,,"Fri Jun 20, 2025 - 04:28:24",User,1.5,ppm,,,,,sample5,Mining,37.6291 , 33.0946,4.1315 , 1.7006,<LOD,5.3884,938009.7500 , 534.9089,<LOD,2.0512,69.6035 , 27.8446,<LOD,112.0628,969.2890 , 59.9473,16.1166 , 7.2323,56083.0781 , 179.3803,<LOD,0.0000,<LOD,4.0560,1106.0702 , 50.0904,<LOD,1.5279,5.4164 , 0.8894,1906.5278 , 29.6110,18.0026 , 1.6505,77.5027 , 7.6771,1.7686 , 0.7537,<LOD,0.0000,102.9744 , 83.7744,<LOD,1.4255,163.0266 , 10.0041,5.1577 , 0.3983,<LOD,0.0000,<LOD,2.5140,1205.5688 , 151.9881,<LOD,1.9398,162.2590 , 70.7440,<LOD,0.0000,<LOD,0.9370,52.1338 , 3.7611,4.0049 , 0.7523,
4494,Mining,19.66,19.44,,,,"Fri Jun 20, 2025 - 04:29:39",User,1.5,ppm,,,,,sample5,Mining,<LOD,8.7914,7.1058 , 1.6017,<LOD,4.3902,937538.3125 , 429.1167,<LOD,1.7591,<LOD,10.3389,<LOD,104.2736,1331.2925 , 58.4765,<LOD,10.1299,57627.4062 , 163.7872,<LOD,0.0000,<LOD,2.3897,801.9601 , 40.8627,<LOD,1.3429,6.6071 , 0.8109,2571.0227 , 30.2843,20.0215 , 1.4725,<LOD,8.6115,<LOD,1.1572,<LOD,0.0000,<LOD,18.2251,<LOD,1.1163,<LOD,11.8740,29.5924 , 0.5911,<LOD,0.0000,<LOD,1.5847,<LOD,168.8227,<LOD,1.7526,<LOD,79.7190,<LOD,0.0000,<LOD,0.8161,64.9590 , 3.5644,1.7738 , 0.6946,
4495,Mining,20.03,19.79,,,,"Fri Jun 20, 2025 - 04:30:15",User,1.5,ppm,,,,,sample5,Mining,<LOD,9.1182,7.0910 , 1.5556,<LOD,4.4043,937106.1250 , 445.9148,<LOD,1.9128,<LOD,10.7041,<LOD,87.6164,2052.5820 , 70.0772,<LOD,14.9036,57288.9453 , 165.0240,<LOD,0.0000,<LOD,2.4826,811.6512 , 43.0851,<LOD,1.3571,9.8172 , 0.8533,2604.4402 , 30.7926,15.7125 , 1.4149,<LOD,9.0491,<LOD,1.0501,<LOD,0.0000,<LOD,18.8650,<LOD,1.1796,<LOD,12.2726,32.7588 , 0.6231,<LOD,0.0000,<LOD,1.7235,<LOD,172.0951,<LOD,1.8063,<LOD,85.9665,<LOD,0.0000,<LOD,0.8532,67.8720 , 3.6742,3.0466 , 0.7269,
4496,Mining,19.42,19.32,,,,"Fri Jun 20, 2025 - 04:30:49",User,1.5,ppm,,,,,sample5,Mining,<LOD,9.0519,5.9030 , 1.5362,<LOD,4.4261,934978.6250 , 457.6411,<LOD,1.7498,<LOD,10.6733,<LOD,92.6029,1023.3567 , 53.9405,<LOD,12.4609,60250.9609 , 168.4196,<LOD,0.0000,<LOD,2.4424,880.4234 , 41.9001,<LOD,1.3602,7.0754 , 0.8290,2737.3213 , 31.7009,16.5144 , 1.4224,<LOD,8.9347,<LOD,0.8967,<LOD,0.0000,<LOD,18.7586,<LOD,1.1374,<LOD,12.2102,21.3722 , 0.5326,<LOD,0.0000,<LOD,1.5326,<LOD,211.5134,<LOD,1.6887,<LOD,85.3010,<LOD,0.0000,<LOD,0.8021,76.1614 , 3.8454,2.2967 , 0.6956,
4497,Mining,19.99,19.32,,,,"Fri Jun 20, 2025 - 04:31:43",User,1.5,ppm,,,,,sample5,Mining,<LOD,9.3984,5.7298 , 1.5570,<LOD,4.7507,936373.1250 , 459.5460,<LOD,1.7210,<LOD,11.0723,<LOD,90.4861,1343.9998 , 60.6963,<LOD,15.5774,58739.6250 , 169.3324,<LOD,0.0000,<LOD,2.4258,778.8816 , 41.8947,<LOD,1.3892,4.6676 , 0.8180,2657.5488 , 31.7949,16.1078 , 1.4553,<LOD,9.3969,<LOD,0.9596,<LOD,0.0000,<LOD,19.5298,<LOD,1.2304,<LOD,12.6973,18.0968 , 0.5108,<LOD,0.0000,<LOD,1.8246,<LOD,173.9293,<LOD,1.7757,<LOD,86.8967,<LOD,0.0000,<LOD,0.8296,60.9186 , 3.6200,1.3275 , 0.6892,
4498,Mining,20.09,19.90,,,,"Fri Jun 20, 2025 - 04:32:18",User,1.5,ppm,,,,,sample5,Mining,<LOD,8.7114,4.1513 , 1.5069,<LOD,4.1703,933091.1875 , 438.9377,<LOD,1.8299,<LOD,10.2755,<LOD,94.1629,1058.8861 , 52.1670,<LOD,13.5894,62028.2656 , 163.1906,<LOD,0.0000,<LOD,2.4576,878.0206 , 40.1874,<LOD,1.3243,6.5941 , 0.7930,2815.7305 , 30.8685,20.5204 , 1.4547,<LOD,8.5833,<LOD,0.8511,<LOD,0.0000,<LOD,18.0654,<LOD,1.1024,<LOD,11.7412,21.9837 , 0.5176,<LOD,0.0000,<LOD,1.6002,<LOD,161.0958,<LOD,1.6030,<LOD,80.8075,<LOD,0.0000,<LOD,0.7720,73.3232 , 3.6461,1.3042 , 0.6595,
4499,Mining,20.09,19.29,,,,"Fri Jun 20, 2025 - 04:35:10",User,1.5,ppm,,,,,sample6,Mining,<LOD,9.5045,2.1389 , 1.2925,<LOD,4.4716,929061.1875 , 495.5529,<LOD,1.8878,<LOD,11.2119,<LOD,92.6014,1244.5096 , 57.4499,14.8748 , 7.2348,65201.9297 , 172.8064,<LOD,0.0000,<LOD,2.6670,1012.6671 , 44.2099,<LOD,1.4131,5.1889 , 0.8270,2629.9617 , 31.3000,8.5474 , 1.2671,<LOD,9.5734,<LOD,1.6380,<LOD,0.0000,<LOD,19.8050,<LOD,1.2009,<LOD,12.8672,26.0246 , 0.5775,<LOD,0.0000,<LOD,1.6437,738.9769 , 122.8897,<LOD,1.8543,<LOD,91.6824,<LOD,0.0000,<LOD,0.8691,51.1759 , 3.3878,2.7940 , 0.7210,
4500,Mining,19.41,19.01,,,,"Fri Jun 20, 2025 - 04:35:34",User,1.5,ppm,,,,,sample6,Mining,<LOD,9.0372,1.6834 , 1.3049,<LOD,4.4081,927503.0625 , 496.9891,<LOD,1.7358,<LOD,10.6434,<LOD,106.8197,1926.3304 , 67.0585,10.9076 , 7.0024,64784.4492 , 171.3113,<LOD,0.0000,<LOD,2.4376,1073.0438 , 45.8788,<LOD,1.3512,2.9711 , 0.7918,2552.2620 , 30.5519,10.9274 , 1.3037,<LOD,8.9232,2.6310 , 0.7108,<LOD,0.0000,<LOD,18.7916,<LOD,1.1777,<LOD,12.1855,20.9889 , 0.5268,<LOD,0.0000,<LOD,1.5832,2040.7511 , 146.6452,<LOD,1.7945,<LOD,131.1209,<LOD,0.0000,<LOD,0.8288,66.3730 , 3.6398,3.6208 , 0.7129,
4501,Mining,19.48,19.23,,,,"Fri Jun 20, 2025 - 04:36:01",User,1.5,ppm,,,,,sample6,Mining,<LOD,9.4433,2.5090 , 1.3388,<LOD,4.7547,933744.9375 , 484.4922,<LOD,1.9959,<LOD,11.1098,<LOD,90.1698,2750.5156 , 80.3949,<LOD,11.3492,59112.9570 , 170.9777,<LOD,0.0000,<LOD,2.7955,987.2252 , 47.8865,<LOD,1.4150,<LOD,1.4722,2054.9333 , 28.2151,9.5948 , 1.3001,<LOD,9.4176,1.9687 , 0.6975,<LOD,0.0000,<LOD,19.5761,<LOD,1.1961,<LOD,12.7258,18.3825 , 0.5146,<LOD,0.0000,<LOD,1.7696,1255.6755 , 137.7838,<LOD,1.7902,<LOD,95.5493,<LOD,0.0000,<LOD,0.8583,58.2639 , 3.5629,3.0005 , 0.7133,
4502,Mining,20.64,19.93,,,,"Fri Jun 20, 2025 - 04:36:27",User,1.5,ppm,,,,,sample6,Mining,<LOD,9.3378,<LOD,2.3014,<LOD,4.3052,923994.0000 , 520.7192,<LOD,1.7712,<LOD,10.9982,<LOD,91.3763,4922.5146 , 97.4858,<LOD,10.9746,65867.4844 , 170.6858,<LOD,0.0000,<LOD,2.5799,1072.8391 , 50.6888,<LOD,1.3746,1.1834 , 0.7719,2451.5627 , 29.7162,12.6782 , 1.3330,<LOD,9.3512,2.3130 , 0.7043,<LOD,0.0000,<LOD,19.3941,<LOD,1.1262,<LOD,12.6049,17.7016 , 0.4937,<LOD,0.0000,<LOD,1.5716,1574.5822 , 135.6929,<LOD,1.8048,<LOD,92.9986,<LOD,0.0000,<LOD,0.8361,78.6428 , 3.8397,4.5221 , 0.7127,
4503,Mining,20.21,19.92,,,,"Fri Jun 20, 2025 - 04:36:55",User,1.5,ppm,,,,,sample6,Mining,<LOD,9.9798,3.9452 , 1.3519,<LOD,4.6174,916962.2500 , 578.7366,<LOD,2.1502,<LOD,11.7411,<LOD,96.8255,2659.9292 , 74.9051,13.4001 , 7.3502,74679.2422 , 179.2539,<LOD,0.0000,<LOD,2.5982,1297.6768 , 49.6898,<LOD,1.4549,2.3117 , 0.8116,2788.1616 , 32.1292,7.7367 , 1.2708,<LOD,10.2057,1.5802 , 0.7107,<LOD,0.0000,<LOD,20.7696,<LOD,1.2672,<LOD,13.5011,14.1542 , 0.4697,<LOD,0.0000,<LOD,1.8457,1477.6307 , 133.8211,<LOD,1.9659,<LOD,163.4366,<LOD,0.0000,<LOD,0.8854,89.0353 , 4.1142,2.9355 , 0.7073,
4504,Mining,19.57,19.10,,,,"Fri Jun 20, 2025 - 04:39:34",User,1.5,ppm,,,,,sample7,Mining,<LOD,9.6465,<LOD,2.8401,<LOD,4.7787,929594.3750 , 508.1756,<LOD,1.8991,<LOD,11.3510,<LOD,91.8612,4903.4385 , 100.9959,<LOD,15.6841,62121.1133 , 172.0946,<LOD,0.0000,<LOD,4.2544,900.4975 , 50.2484,<LOD,1.4152,<LOD,1.1580,2385.4360 , 30.1179,11.4855 , 1.3459,<LOD,9.7554,<LOD,0.9858,<LOD,0.0000,<LOD,20.0526,<LOD,1.2223,<LOD,13.0312,9.7933 , 0.4236,<LOD,0.0000,<LOD,1.6946,<LOD,172.5704,<LOD,1.8330,<LOD,88.4445,<LOD,0.0000,<LOD,0.8176,73.8689 , 3.8638,<LOD,1.2291,
4505,Mining,20.63,,,,,"Fri Jun 20, 2025 - 04:40:09",User,1.5,ppm,,,,,sample7,Mining,<LOD,13.8352,1.8254 , 1.4334,4.3417 , 3.5619,921519.5000 , 574.2984,<LOD,1.9047,<LOD,12.1377,<LOD,110.1441,5177.8672 , 103.7585,12.9978 , 7.5922,69407.2266 , 181.3969,<LOD,0.0000,5.6339 , 2.1477,998.9888 , 52.6417,<LOD,1.5256,<LOD,1.7755,2765.4243 , 33.1247,13.0707 , 1.4259,<LOD,10.9053,<LOD,1.1199,<LOD,0.0000,<LOD,21.4868,<LOD,1.3605,<LOD,13.9598,11.5592 , 0.4583,<LOD,0.0000,<LOD,1.6728,<LOD,175.2013,<LOD,1.9433,<LOD,92.7227,<LOD,0.0000,<LOD,0.8745,79.8435 , 4.1023,1.7314 , 0.7017,
4506,Mining,20.02,19.84,,,,"Fri Jun 20, 2025 - 04:40:41",User,1.5,ppm,,,,,sample7,Mining,<LOD,10.3695,2.0440 , 1.4633,<LOD,4.9476,922338.5000 , 586.8737,<LOD,1.9557,<LOD,12.1608,<LOD,98.6445,4923.6660 , 102.6264,11.7122 , 7.6156,68832.5547 , 182.7404,<LOD,0.0000,4.7813 , 2.1054,1036.3035 , 53.1547,<LOD,1.5397,<LOD,1.3899,2746.5344 , 33.2945,13.5681 , 1.4532,<LOD,10.6234,<LOD,1.0617,<LOD,0.0000,<LOD,21.5560,<LOD,1.2772,<LOD,13.9649,11.5045 , 0.4612,<LOD,0.0000,<LOD,1.7433,<LOD,253.8494,<LOD,1.8653,<LOD,101.7161,<LOD,0.0000,<LOD,0.8824,76.6836 , 4.0696,2.1252 , 0.7141,
4507,Mining,19.57,19.69,,,,"Fri Jun 20, 2025 - 04:41:43",User,1.5,ppm,,,,,sample7,Mining,<LOD,8.9016,2.6979 , 1.3141,<LOD,4.3397,939800.1250 , 429.9694,<LOD,1.6967,<LOD,10.4683,<LOD,86.1218,2587.3806 , 77.7064,<LOD,9.3620,54733.2344 , 163.5114,<LOD,0.0000,<LOD,2.5707,776.4927 , 43.9825,<LOD,1.3426,<LOD,1.0892,2036.8579 , 27.5425,10.3651 , 1.2671,<LOD,8.7812,<LOD,1.4600,<LOD,0.0000,<LOD,18.4389,<LOD,1.1009,<LOD,12.0035,7.3633 , 0.3848,<LOD,0.0000,<LOD,1.4566,<LOD,167.9350,<LOD,1.6627,<LOD,84.3990,<LOD,0.0000,<LOD,0.8025,45.5228 , 3.2050,<LOD,1.4736,
4508,Mining,20.10,19.65,,,,"Fri Jun 20, 2025 - 04:42:16",User,1.5,ppm,,,,,sample7,Mining,<LOD,9.9448,3.1998 , 1.3844,<LOD,4.7026,927097.0000 , 535.5134,<LOD,1.8500,<LOD,11.7077,<LOD,94.9120,5698.3560 , 109.9873,<LOD,10.4549,63807.6797 , 178.3043,<LOD,0.0000,4.1036 , 2.0370,920.4803 , 53.0814,<LOD,1.4623,<LOD,1.1870,2383.7520 , 30.8625,9.0420 , 1.3295,<LOD,10.0171,<LOD,1.2008,<LOD,0.0000,<LOD,20.6722,<LOD,1.2470,<LOD,13.4273,9.9113 , 0.4373,<LOD,0.0000,<LOD,1.7277,<LOD,177.8376,<LOD,1.8285,<LOD,102.5322,<LOD,0.0000,<LOD,0.8653,66.4549 , 3.8151,<LOD,1.2983,
4509,Mining,20.23,19.66,,,,"Fri Jun 20, 2025 - 04:43:39",User,1.5,ppm,,,,,sample7,Mining,<LOD,8.9494,3.7899 , 1.3875,<LOD,4.2458,927526.0625 , 471.6366,<LOD,1.7825,<LOD,10.5314,<LOD,90.7986,1918.3223 , 65.2733,<LOD,10.3811,66552.8984 , 169.1656,<LOD,0.0000,<LOD,2.5619,954.2140 , 43.4491,<LOD,1.3650,<LOD,1.1084,2755.6768 , 31.1294,12.9633 , 1.3230,<LOD,8.8113,<LOD,0.9205,<LOD,0.0000,<LOD,18.5802,<LOD,1.1171,<LOD,12.0496,13.7387 , 0.4508,<LOD,0.0000,<LOD,1.5444,196.1159 , 105.3996,<LOD,1.7362,<LOD,82.0929,<LOD,0.0000,<LOD,0.8173,63.8241 , 3.5337,2.3447 , 0.6684,
4510,Mining,19.59,19.42,,,,"Fri Jun 20, 2025 - 04:44:12",User,1.5,ppm,,,,,sample7,Mining,<LOD,9.1774,2.5174 , 1.4620,<LOD,4.5513,929162.8750 , 477.2478,<LOD,1.8767,<LOD,10.8251,<LOD,92.6762,1317.0902 , 58.2381,19.3786 , 7.2980,65556.2578 , 172.7659,<LOD,0.0000,<LOD,2.3565,979.8336 , 43.7884,<LOD,1.3754,<LOD,1.4157,2644.9114 , 31.3491,16.9171 , 1.4410,<LOD,9.0954,<LOD,0.9417,<LOD,0.0000,<LOD,19.0639,<LOD,1.1721,<LOD,12.4020,13.5064 , 0.4591,<LOD,0.0000,<LOD,1.5880,225.7124 , 109.4807,<LOD,1.7461,<LOD,83.2554,<LOD,0.0000,<LOD,0.8494,59.5491 , 3.5478,1.4350 , 0.6709,
4511,Mining,21.00,,,,,"Fri Jun 20, 2025 - 04:44:46",User,1.5,ppm,,,,,sample7,Mining,<LOD,9.3633,<LOD,5.8688,<LOD,4.8410,933779.4375 , 472.0394,<LOD,2.0944,<LOD,11.0116,<LOD,91.7788,1478.6158 , 62.8213,25.5694 , 7.2429,60565.8789 , 170.8952,<LOD,0.0000,8.8903 , 2.1980,896.3446 , 44.0112,<LOD,1.4099,3.1119 , 0.8022,2340.7163 , 30.1167,106.6248 , 2.8237,<LOD,9.3105,3.6745 , 0.7681,<LOD,0.0000,<LOD,19.5194,<LOD,1.2941,<LOD,12.6720,52.5018 , 0.7805,<LOD,0.0000,<LOD,1.9824,664.0435 , 124.2391,<LOD,1.9445,<LOD,91.5531,<LOD,0.0000,<LOD,0.9309,63.0579 , 3.7015,11.5358 , 0.8818,
4512,Mining,19.01,19.01,,,,"Fri Jun 20, 2025 - 04:45:18",User,1.5,ppm,,,,,sample7,Mining,<LOD,9.5428,4.9369 , 1.6783,<LOD,4.5804,939386.8750 , 481.0526,<LOD,1.9797,<LOD,11.2563,<LOD,93.8361,1175.9073 , 61.2500,19.5203 , 7.3826,56327.5234 , 175.2210,<LOD,0.0000,<LOD,4.7365,785.7707 , 43.9938,<LOD,1.4022,<LOD,1.1461,2222.6780 , 30.8515,19.2129 , 1.5984,<LOD,9.3674,<LOD,1.3669,<LOD,0.0000,<LOD,20.0104,<LOD,1.1896,<LOD,12.9904,10.1814 , 0.4497,<LOD,0.0000,<LOD,1.8493,<LOD,287.6779,<LOD,1.7600,<LOD,89.7289,<LOD,0.0000,<LOD,0.8230,47.3849 , 3.5173,<LOD,1.0002,
4513,Mining,20.29,19.71,,,,"Fri Jun 20, 2025 - 04:45:54",User,1.5,ppm,,,,,sample7,Mining,<LOD,8.9578,3.2860 , 1.4777,<LOD,4.6125,930171.0625 , 480.4385,<LOD,1.8628,<LOD,10.5621,<LOD,91.4903,1861.0756 , 66.0119,11.1578 , 7.0394,64410.9688 , 170.0594,<LOD,0.0000,<LOD,2.5994,884.2435 , 43.2545,<LOD,1.3694,<LOD,1.1183,2565.6829 , 30.6588,17.1912 , 1.4396,<LOD,8.8139,<LOD,1.4971,<LOD,0.0000,<LOD,18.5794,<LOD,1.1892,<LOD,12.1283,12.9683 , 0.4493,<LOD,0.0000,<LOD,1.6255,<LOD,237.3224,<LOD,1.7081,<LOD,83.3112,<LOD,0.0000,<LOD,0.7919,60.7402 , 3.5377,1.6150 , 0.6644,
